Weather_Condition,Nearby_Vessel,Vessel_Distance_NM,Vessel_Speed_Knots,Radar_Object_Detected,Radar_Distance_NM,Ship_Speed_Knots,Risk_Level
Clear,No,3.51,16.82,No,4.24,17.97,Safe
Storm,No,3.34,19.92,Yes,5.0,8.45,High
Rain,Yes,10.92,6.26,Yes,8.62,22.45,Moderate
Rain,Yes,3.37,15.62,No,3.73,17.26,High
Clear,Yes,3.63,14.29,No,8.76,8.14,Moderate
Clear,Yes,9.23,20.82,No,1.34,24.25,Safe
Clear,Yes,5.67,22.65,No,7.88,15.37,Moderate
Storm,Yes,9.43,0.3,No,8.55,6.46,High
Rain,No,1.25,16.85,No,2.23,17.54,Moderate
Rain,No,6.11,1.3,No,4.59,10.06,Moderate
Clear,No,0.89,13.72,No,2.07,21.07,Safe
Storm,Yes,1.22,7.19,No,7.21,21.36,Critical
Rain,Yes,10.92,7.67,No,5.59,24.58,Moderate
Clear,No,2.1,8.82,No,6.54,15.04,Safe
Clear,Yes,6.62,15.53,No,2.37,14.1,Moderate
Clear,Yes,5.23,8.35,No,2.51,20.07,Moderate
Clear,No,4.49,18.32,Yes,0.89,7.65,High
Clear,No,10.85,10.11,Yes,3.56,15.94,Moderate
Clear,Yes,0.75,1.71,No,5.82,15.92,Moderate
Clear,No,8.13,19.59,No,8.65,6.79,Safe
Rain,Yes,11.58,7.14,No,6.84,13.36,Moderate
Clear,No,6.94,10.82,No,4.64,22.07,Safe
Clear,Yes,11.27,17.14,No,9.55,22.12,Safe
Clear,Yes,1.1,8.31,Yes,7.33,6.98,Moderate
Clear,Yes,5.32,1.41,No,9.34,6.81,Moderate
Rain,No,3.49,9.35,Yes,5.51,10.25,Moderate
Clear,Yes,8.9,23.61,No,2.96,22.5,Safe
Clear,Yes,11.78,16.04,No,1.0,7.58,Safe
Rain,No,3.45,16.79,Yes,7.4,19.4,Moderate
Clear,Yes,8.02,15.81,No,1.65,7.02,Safe
Rain,No,2.78,4.97,No,3.38,17.46,Moderate
Clear,No,7.0,10.46,No,5.56,12.12,Safe
Clear,No,5.84,18.77,No,5.86,20.78,Safe
Storm,No,11.68,2.53,Yes,6.21,9.67,High
Storm,No,7.5,6.95,No,2.08,17.78,High
Rain,Yes,4.52,6.91,Yes,4.11,9.71,High
Clear,No,1.81,10.8,Yes,6.36,19.27,Safe
Clear,Yes,2.24,24.51,Yes,9.71,22.47,Moderate
Rain,No,3.09,1.69,No,7.41,7.54,Moderate
Clear,No,3.39,12.97,No,9.26,22.33,Safe
Clear,No,10.28,4.48,Yes,7.74,16.87,Safe
Clear,Yes,6.95,24.27,No,6.12,7.54,Moderate
Clear,No,6.52,2.83,No,2.32,13.55,Safe
Storm,Yes,1.82,10.09,No,6.83,8.22,Critical
Clear,Yes,10.39,18.45,No,6.42,19.01,Safe
Rain,Yes,8.81,17.61,No,6.22,20.18,Moderate
Clear,No,1.28,10.57,No,5.15,7.12,Safe
Clear,No,8.64,8.66,No,5.52,15.12,Safe
Clear,Yes,6.75,9.94,Yes,3.68,21.29,Moderate
Clear,No,1.44,6.61,No,5.43,23.72,Safe
Storm,Yes,5.77,5.13,Yes,2.38,15.27,Critical
Rain,No,6.07,12.08,No,8.15,24.01,Moderate
